semestre,codigo,disciplina,turma,turma_url,docente,horario,padrao_dias,vagas,inscritos
2023/1,GCI00141,LABORATÓRIO DE TRATAMENTO E RECUPERAÇÃO DA INFORMAÇÃO,S2,/graduacao/quadrodehorarios/turmas/100000373409,Christiano Pereira Pessanha,Qui 18:00-22:00,Qui,54,55
2023/1,GLC00292,LIBRAS I,A1,/graduacao/quadrodehorarios/turmas/100000372893,Bruno Ramos,Seg 09:00-11:00,Seg,51,44
2023/1,GLC00292,LIBRAS I,D1,/graduacao/quadrodehorarios/turmas/100000372919,Tathianna Prado Dawes,Qui 09:00-11:00,Qui,37,31
2023/1,GLC00292,LIBRAS I,E1,/graduacao/quadrodehorarios/turmas/100000372927,Tatiane Militao de Sa,Sex 16:00-18:00,Sex,56,56
2023/1,TCC00304,LINGUAGENS DE PROGRAMAÇÃO,A1,/graduacao/quadrodehorarios/turmas/100000371196,Bruno Lopes Vieira,Qua 07:00-09:00; Sex 07:00-09:00,Qua-Sex,50,48
2023/1,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,A1,/graduacao/quadrodehorarios/turmas/100000371197,Luis Felipe Ignacio Cunha,Seg 09:00-11:00; Qua 09:00-11:00,Seg-Qua,41,38
2023/1,GAN00166,LÓGICA PARA A CIÊNCIA DA COMPUTAÇÃO,A1,/graduacao/quadrodehorarios/turmas/100000371744,Renata Pereira de Freitas,Seg 14:00-16:00; Qua 14:00-16:00,Seg-Qua,51,48
2023/1,GAN00166,LÓGICA PARA A CIÊNCIA DA COMPUTAÇÃO,B1,/graduacao/quadrodehorarios/turmas/100000371745,Renata Pereira de Freitas,Ter 14:00-16:00; Qui 14:00-16:00,Ter-Qui,50,46
2023/1,GAN00167,MATEMÁTICA DISCRETA,A1,/graduacao/quadrodehorarios/turmas/100000371747,Jorge Petrucio Viana,Seg 11:00-13:00; Qua 11:00-13:00,Seg-Qua,50,48
2023/1,GAN00167,MATEMÁTICA DISCRETA,B1,/graduacao/quadrodehorarios/turmas/100000371748,Yuri Ki,Seg 14:00-16:00; Qua 14:00-16:00,Seg-Qua,14,53
2023/1,GAN00167,MATEMÁTICA DISCRETA,C1,/graduacao/quadrodehorarios/turmas/100000371749,Jorge Petrucio Viana,Seg 14:00-16:00; Qua 14:00-16:00,Seg-Qua,20,51
2023/1,TCC00200,MINERAÇÃO DE DADOS,A1,/graduacao/quadrodehorarios/turmas/100000371733,Alexandre Plastino de Carvalho,Seg 14:00-18:00,Seg,11,8
2023/1,TCC00306,MÉTODOS NUMÉRICOS,A1,/graduacao/quadrodehorarios/turmas/100000371198,Andre Maues Brabo Pereira,Ter 07:00-09:00; Qui 07:00-09:00,Ter-Qui,52,44
2023/1,TCC00318,PESQUISA OPERACIONAL,A1,/graduacao/quadrodehorarios/turmas/100000371200,Luiz Satoru Ochi,Seg 09:00-13:00,Seg,40,26
2023/1,TCC00307,PROGRAMAÇÃO CIENTÍFICA,A1,/graduacao/quadrodehorarios/turmas/100000371202,Ricardo Leiderman,Ter 11:00-13:00; Qui 11:00-13:00,Ter-Qui,54,51
2023/1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,A1,/graduacao/quadrodehorarios/turmas/100000371203,Simone de Lima Martins,Seg 11:00-13:00; Qua 11:00-13:00,Seg-Qua,7,40
2023/1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,B1,/graduacao/quadrodehorarios/turmas/100000371204,Mario Roberto Folhadela Benevides,Seg 11:00-13:00; Qua 11:00-13:00,Seg-Qua,5,42
2023/1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,C1,/graduacao/quadrodehorarios/turmas/100000371205,Luis Antonio Brasil Kowada,Qua 11:00-13:00; Sex 11:00-13:00,Qua-Sex,33,26
2023/1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,A1,/graduacao/quadrodehorarios/turmas/100000371209,Patrick Barbosa Moratori,Seg 16:00-18:00; Qua 16:00-18:00,Seg-Qua,44,36
2023/1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,B1,/graduacao/quadrodehorarios/turmas/100000371210,Aline de Paula Nascimento,Ter 09:00-11:00; Qui 09:00-11:00,Ter-Qui,50,48
2023/1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,C1,/graduacao/quadrodehorarios/turmas/100000371243,Aline de Paula Nascimento,Ter 07:00-09:00; Qui 07:00-09:00,Ter-Qui,48,31
2023/1,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,A1,/graduacao/quadrodehorarios/turmas/100000371211,Luiz Andre Portes Paes Leme,Seg 11:00-13:00; Qua 11:00-13:00,Seg-Qua,45,43
2023/1,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,B1,/graduacao/quadrodehorarios/turmas/100000371249,Anselmo Antunes Montenegro,Seg 16:00-18:00; Qua 16:00-18:00,Seg-Qua,45,41
2023/1,TCC00312,PROJETO DE SOFTWARE,A1,/graduacao/quadrodehorarios/turmas/100000371215,Carlos Alberto Soares Ribeiro,Seg 11:00-13:00; Sex 11:00-13:00,Seg-Sex,51,50
2023/1,TEC00209,PROPRIEDADE INDUSTRIAL,A1,/graduacao/quadrodehorarios/turmas/100000369162,Luis Gustavo Zelaya Cruz,Sex 14:00-18:00,Sex,48,29
2023/1,TEC00209,PROPRIEDADE INDUSTRIAL,B1,/graduacao/quadrodehorarios/turmas/100000369192,Luis Gustavo Zelaya Cruz,Sex 08:00-12:00,Sex,43,27
2023/1,SDV00143,PROPRIEDADE INTELECTUAL,P1,/graduacao/quadrodehorarios/turmas/100000372979,Clarisse Stephan Farhat Jorge,Ter 18:00-20:00; Ter 20:00-22:00,Ter,68,63
2023/1,TCC00313,REDES DE COMPUTADORES I,A1,/graduacao/quadrodehorarios/turmas/100000371219,Flavia Coimbra Delicato,Ter 11:00-13:00; Qui 11:00-13:00,Ter-Qui,48,48
2023/1,TCC00314,REDES DE COMPUTADORES II,A1,/graduacao/quadrodehorarios/turmas/100000371221,Debora Christina Muchaluat Saade,Ter 09:00-11:00; Qui 09:00-11:00,Ter-Qui,40,15
2023/1,GCI00126,REPRESENTAÇÃO DA INFORMAÇÃO,S3,/graduacao/quadrodehorarios/turmas/100000373369,Linair Maria Campos,Seg 18:00-22:00,Seg,50,48
2023/1,TCC00341,SEGURANÇA DA INFORMAÇÃO,A1,/graduacao/quadrodehorarios/turmas/100000371223,Raphael Carlos Santos Machado,Seg 18:00-20:00; Qua 18:00-20:00,Seg-Qua,45,35
2023/1,TCC00315,SISTEMAS DISTRIBUÍDOS,A1,/graduacao/quadrodehorarios/turmas/100000371244,Flavia Coimbra Delicato,Ter 09:00-11:00; Qui 09:00-11:00,Ter-Qui,40,36
2023/1,TCC00316,SISTEMAS OPERACIONAIS,A1,/graduacao/quadrodehorarios/turmas/100000371224,Maria Cristina Silva Boeres,Seg 11:00-13:00; Qua 11:00-13:00,Seg-Qua,55,26
2023/1,TCC00271,TÓPICOS EM  LINGUAGEM DE PROGRAMAÇÃO I,A1,/graduacao/quadrodehorarios/turmas/100000371732,Patrick Barbosa Moratori,Seg 14:00-16:00; Qua 14:00-16:00,Seg-Qua,35,22
2023/1,TCC00234,TÓPICOS EM ARQUITETURAS DE COMPUTADORES I,A1,/graduacao/quadrodehorarios/turmas/100000372020,Lucia Maria de Assumpcao Drummond,Seg 11:00-13:00; Qua 11:00-13:00,Seg-Qua,15,11
