turma_id,semestre,codigo,disciplina,turma,origem,horario_observado,dias_observados,horario_fixo,fonte,validado
2026-2-TCC00291-A1,2026-2,TCC00291,COMPUTAÇÃO GRÁFICA,A1,IC,segunda 11:00-13:00; quarta 11:00-13:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00292-A1,2026-2,TCC00292,ENGENHARIA DE SOFTWARE I,A1,IC,segunda 09:00-11:00; quarta 09:00-11:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00293-A1,2026-2,TCC00293,ENGENHARIA DE SOFTWARE II,A1,IC,segunda 07:00-09:00; quarta 07:00-09:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00296-A1,2026-2,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,A1,IC,terca 07:00-09:00; quinta 07:00-09:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00296-B1,2026-2,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,B1,IC,terca 14:00-16:00; quinta 14:00-16:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00297-A1,2026-2,TCC00297,INTELIGÊNCIA ARTIFICIAL,A1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00298-A1,2026-2,TCC00298,INTERFACE HOMEM MAQUINA,A1,IC,segunda 11:00-13:00; quarta 11:00-13:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00301-AA,2026-2,TCC00301,LAB. DE PROGRAMAÇÃO DE JOGOS,AA,IC,terca 11:00-13:00,terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00301-BA,2026-2,TCC00301,LAB. DE PROGRAMAÇÃO DE JOGOS,BA,IC,quinta 11:00-13:00,quinta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00304-A1,2026-2,TCC00304,LINGUAGENS DE PROGRAMAÇÃO,A1,IC,segunda 11:00-13:00; quarta 11:00-13:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00305-A1,2026-2,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,A1,IC,segunda 09:00-11:00; quarta 09:00-11:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
