turma_id,semestre,codigo,turma,dia,inicio,fim,sala,valor_original
2025-2-TCC00241-A1,2025-2,TCC00241,A1,terca,18:00,20:00,,18/20
2025-2-TCC00241-A1,2025-2,TCC00241,A1,quinta,18:00,20:00,,18/20
2025-2-TCC00230-A1,2025-2,TCC00230,A1,sexta,18:00,22:00,L303,"18/22
L303"
2025-2-TIC10005-,2025-2,TIC10005,,terca,09:00,11:00,,"09/11
sala"
2025-2-TIC10005-,2025-2,TIC10005,,quinta,09:00,11:00,,"09/11
sala"
2025-2-TCC00319-A1,2025-2,TCC00319,A1,sexta,14:00,18:00,404B,"14/18
404B"
2025-2-TCC00319-B1,2025-2,TCC00319,B1,terca,16:00,18:00,202,"16/18
202"
2025-2-TCC00319-B1,2025-2,TCC00319,B1,quinta,16:00,18:00,202,"16/18
202"
2025-2-TCC00320-A1,2025-2,TCC00320,A1,terca,14:00,16:00,321,"14/16
321"
2025-2-TCC00320-A1,2025-2,TCC00320,A1,quinta,14:00,16:00,321,"14/16
321"
2025-2-TCC00320-B1,2025-2,TCC00320,B1,terca,14:00,16:00,213,"14/16
213"
2025-2-TCC00320-B1,2025-2,TCC00320,B1,quinta,14:00,16:00,213,"14/16
213"
2025-2-TCC00328-C1,2025-2,TCC00328,C1,segunda,11:00,13:00,L302,"11/13
L302"
2025-2-TCC00328-C1,2025-2,TCC00328,C1,quarta,11:00,13:00,L302,"11/13
L302"
2025-2-TCC00325-A1,2025-2,TCC00325,A1,segunda,09:00,11:00,306,"09/11
306"
2025-2-TCC00325-A1,2025-2,TCC00325,A1,quarta,09:00,11:00,306,"09/11
306"
2025-2-TCC00325-B1,2025-2,TCC00325,B1,segunda,11:00,13:00,304,"11/13
304"
2025-2-TCC00325-B1,2025-2,TCC00325,B1,quarta,11:00,13:00,304,"11/13
304"
2025-2-TCC00325-C1,2025-2,TCC00325,C1,segunda,16:00,18:00,304,"16/18
304"
2025-2-TCC00325-C1,2025-2,TCC00325,C1,quarta,16:00,18:00,304,"16/18
304"
2025-2-TCC00325-D1,2025-2,TCC00325,D1,segunda,18:00,20:00,304,"18/20
304"
2025-2-TCC00325-D1,2025-2,TCC00325,D1,quarta,18:00,20:00,304,"18/20
304"
2025-2-TCC00325-E1,2025-2,TCC00325,E1,terca,11:00,13:00,313,"11/13
313"
2025-2-TCC00325-E1,2025-2,TCC00325,E1,quinta,11:00,13:00,313,"11/13
313"
2025-2-TCC00325-F1,2025-2,TCC00325,F1,terca,14:00,16:00,313,"14/16
313"
2025-2-TCC00325-F1,2025-2,TCC00325,F1,quinta,14:00,16:00,313,"14/16
313"
2025-2-TCC00325-G1,2025-2,TCC00325,G1,terca,16:00,18:00,304,"16/18
304"
2025-2-TCC00325-G1,2025-2,TCC00325,G1,quinta,16:00,18:00,304,"16/18
304"
2025-2-TCC00326-E1,2025-2,TCC00326,E1,segunda,16:00,18:00,L304,"16/18
L304"
2025-2-TCC00326-E1,2025-2,TCC00326,E1,quarta,16:00,18:00,302,"16/18
302"
2025-2-TCC00326-E2,2025-2,TCC00326,E2,segunda,16:00,18:00,213,"16/18
213"
2025-2-TCC00326-E2,2025-2,TCC00326,E2,quarta,16:00,18:00,L302,"16/18
L302"
2025-2-TCC00326-X1,2025-2,TCC00326,X1,segunda,16:00,18:00,213,"16/18
213"
2025-2-TCC00326-X1,2025-2,TCC00326,X1,quarta,16:00,18:00,L302,"16/18
L302"
2025-2-TCC00326-F1,2025-2,TCC00326,F1,segunda,18:00,20:00,213,"18/20
213"
2025-2-TCC00326-F1,2025-2,TCC00326,F1,quarta,18:00,20:00,L302,"18/20
L302"
2025-2-TCC00326-I1,2025-2,TCC00326,I1,terca,09:00,11:00,L302,"09/11
L302"
2025-2-TCC00326-I1,2025-2,TCC00326,I1,quinta,09:00,11:00,321,"09/11
321"
2025-2-TCC00326-I2,2025-2,TCC00326,I2,terca,09:00,11:00,321,"09/11
321"
2025-2-TCC00326-I2,2025-2,TCC00326,I2,quinta,09:00,11:00,L306,"09/11
L306"
2025-2-TCC00326-X2,2025-2,TCC00326,X2,terca,09:00,11:00,321,"09/11
321"
2025-2-TCC00326-X2,2025-2,TCC00326,X2,quinta,09:00,11:00,L306,"09/11
L306"
2025-2-TCC00326-J1,2025-2,TCC00326,J1,terca,11:00,13:00,L302,"11/13
L302"
2025-2-TCC00326-J1,2025-2,TCC00326,J1,quinta,11:00,13:00,321,"11/13
321"
2025-2-TCC00326-J2,2025-2,TCC00326,J2,terca,11:00,13:00,321,"11/13
321"
2025-2-TCC00326-J2,2025-2,TCC00326,J2,quinta,11:00,13:00,L302,"11/13
L302"
