turma_id,semestre,codigo,turma,encontro,dia,inicio,fim,sala,horario_original,sala_original,valor_original,pagina_pdf,arquivo_origem
2026-1-TCC00336-A1,2026-1,TCC00336,A1,2,quarta,20:00,22:00,L302,20:00-22:00,LAB. 302,20:00-22:00 LAB. 302,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00336-Z1,2026-1,TCC00336,Z1,1,terca,18:00,20:00,204,18:00-20:00,SALA 204,18:00-20:00 SALA 204,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00336-Z1,2026-1,TCC00336,Z1,2,quinta,18:00,20:00,204,18:00-20:00,SALA 204,18:00-20:00 SALA 204,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00289-A1,2026-1,TCC00289,A1,1,segunda,09:00,11:00,206,09:00-11:00,SALA 206,09:00-11:00 SALA 206,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00289-A1,2026-1,TCC00289,A1,2,quarta,09:00,11:00,206,09:00-11:00,SALA 206,09:00-11:00 SALA 206,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00290-A1,2026-1,TCC00290,A1,1,quinta,11:00,13:00,215,11:00-13:00,SALA 215,11:00-13:00 SALA 215,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00222-A1,2026-1,TCC00222,A1,1,quinta,18:00,22:00,213,18:00-22:00,SALA 213,18:00-22:00 SALA 213,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00291-A1,2026-1,TCC00291,A1,1,segunda,11:00,13:00,202,11:00-13:00,SALA 202,11:00-13:00 SALA 202,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00291-A1,2026-1,TCC00291,A1,2,quarta,11:00,13:00,202,11:00-13:00,SALA 202,11:00-13:00 SALA 202,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00226-A1,2026-1,TCC00226,A1,1,segunda,09:00,11:00,L302,09:00-11:00,LAB. 302,09:00-11:00 LAB. 302,1,dados/brutos/QH-2026-1.pdf
