turma_id,semestre,codigo,disciplina,periodo,exige_laboratorio,recursos_requeridos,fontes
2025-2-TCC00347-A1,2025-2,TCC00347,PROGRAMAÇÃO ESTRUTURADA,CC-P2-A,True,laboratorio,sala_observada_codigo_misto
2025-2-TCC00347-B1,2025-2,TCC00347,PROGRAMAÇÃO ESTRUTURADA,CC-P2-B,True,laboratorio,sala_observada_codigo_misto
2025-2-TCC00347-X1,2025-2,TCC00347,PROGRAMAÇÃO ESTRUTURADA,CC-P2-B,True,laboratorio,sala_observada_codigo_misto
2025-2-TCC00328-A1,2025-2,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,CC-P3-A,True,laboratorio,sala_observada_codigo_misto
2025-2-TCC00328-B1,2025-2,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,CC-P3-B,False,,sala_observada_codigo_misto
2025-2-TCC00328-X1,2025-2,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,CC-P3-B,False,,sala_observada_codigo_misto
2025-2-TCC00357-A1,2025-2,TCC00357,PROGRAMAÇÃO ORIENTADA A OBJETOS I,SI-P4,False,,sala_observada_codigo_misto
2025-2-TCC00335-A1,2025-2,TCC00335,PROJETO DE BANCO DE DADOS,SI-P5,,,codigo_historico_misto_sem_sala
2025-2-TCC00312-A1,2025-2,TCC00312,PROJETO DE SOFTWARE,CC-P5,False,,sala_observada
2025-2-TCC00338-A1,2025-2,TCC00338,PROJETO DE SOFTWARE,SI-P6,False,,sala_observada
2025-2-TCC00311-B1,2025-2,TCC00311,PROJETO FINAL II,,False,,sem_evidencia_de_laboratorio
2025-2-TCC00365-A1,2025-2,TCC00365,QUALIDADE E TESTE DE SOFTWARE,SI-P8,True,laboratorio,sala_observada_codigo_misto
2025-2-TCC00359-A1,2025-2,TCC00359,REDES DE COMPUTADORES,SI-P4,False,,sala_observada
2025-2-TCC00313-A1,2025-2,TCC00313,REDES DE COMPUTADORES I,CC-P5,False,,sala_observada
2025-2-TCC00314-A1,2025-2,TCC00314,REDES DE COMPUTADORES II,CC-P6,True,laboratorio,sala_observada_codigo_misto
2025-2-TCC00341-A1,2025-2,TCC00341,SEGURANÇA DA INFORMAÇÃO,SI-P7,False,,sala_observada
2025-2-TCC00358-A1,2025-2,TCC00358,SISTEMAS COMPUTACIONAIS,SI-P3,False,,sala_observada
2025-2-TCC00358-B1,2025-2,TCC00358,SISTEMAS COMPUTACIONAIS,SI-P3,False,,sala_observada
2025-2-TCC00315-A1,2025-2,TCC00315,SISTEMAS DISTRIBUÍDOS,CC-P7,False,,sala_observada
2025-2-TCC00362-A1,2025-2,TCC00362,SISTEMAS DISTRIBUÍDOS PARA SISTEMAS DE INFORMAÇÃO,SI-P5,False,,sem_evidencia_de_laboratorio
2025-2-TCC00316-A1,2025-2,TCC00316,SISTEMAS OPERACIONAIS,CC-P4,False,,sala_observada
2025-2-TCC00360-A1,2025-2,TCC00360,VISUALIZAÇÃO DE DADOS,SI-P6,False,,sala_observada
2025-2-TCC00241-A1,2025-2,TCC00241,Ementa Variável I -  TÓPICOS EM COMPUTAÇÃO X - Tópicos em Computação X,SI-P6,False,,sem_evidencia_de_laboratorio
2025-2-TCC00230-A1,2025-2,TCC00230,Ementa Variável II -  TÓPICOS ESPECIAIS EM SEGURANÇA DA INFORMAÇÃO,SI-P7,True,laboratorio,codigo_historico_somente_laboratorio
2025-2-GCI00126-,2025-2,GCI00126,REPRESENTAÇÃO DA INFORMAÇÃO,SI-P5,False,,sem_evidencia_de_laboratorio
2025-2-GCI00116-,2025-2,GCI00116,ÉTICA,SI-P4,False,,sem_evidencia_de_laboratorio
